0.2584,0.01,,,,,接收,频率,累积 %
0.8046,,,,,,,,
0.9444,,,,,,,,
0.2718,,,,,,,,
0.293,,,,,,,,
0.3052,,,,,,,,
0.3194,,,,,,,,
0.9536,,,,,,,,
0.4498,,,,,,,,
0.9662,,,,,,,,
0.5824,,,,,,,,
0.5934,,,,,,,,
0.6108,,,,,,,,
0.967,,,,,,,,
0.7766,,,,,,,,
